algorithm,loss,penalty_type,lambda,gamma,support_size,auc_train,auc_test,acc_train,acc_test,train_time
fastsparse,Logistic,L0L2,0.800000,0.000010,78,0.820984,0.771755,0.745920,0.697259,6.056425
fastsparse,Logistic,L0L2,1.000000,0.000010,60,0.817029,0.771215,0.741203,0.695347,3.220468
fastsparse,Logistic,L0L2,2.000000,0.000010,30,0.808667,0.774654,0.734447,0.699171,1.786331
fastsparse,Logistic,L0L2,3.000000,0.000010,25,0.806630,0.775272,0.733172,0.703633,1.541337
fastsparse,Logistic,L0L2,4.000000,0.000010,22,0.805788,0.774571,0.735722,0.701721,1.100381
fastsparse,Logistic,L0L2,5.000000,0.000010,17,0.802105,0.777197,0.729092,0.700446,0.773448
fastsparse,Logistic,L0L2,6.000000,0.000010,15,0.800718,0.772436,0.726033,0.699809,0.817346
fastsparse,Logistic,L0L2,7.000000,0.000010,13,0.798879,0.770465,0.727817,0.701721,0.738205
fastsparse,Logistic,L0L2,0.800000,0.001000,70,0.818210,0.775890,0.742223,0.701721,4.448989
fastsparse,Logistic,L0L2,1.000000,0.001000,62,0.816759,0.773097,0.739546,0.699809,2.927900
fastsparse,Logistic,L0L2,2.000000,0.001000,33,0.809493,0.775191,0.732917,0.703633,1.107111
fastsparse,Logistic,L0L2,3.000000,0.001000,26,0.807159,0.775874,0.734319,0.704270,1.375448
fastsparse,Logistic,L0L2,4.000000,0.001000,21,0.806759,0.777207,0.732662,0.711918,1.171404
fastsparse,Logistic,L0L2,5.000000,0.001000,19,0.805404,0.775129,0.732279,0.708732,1.016964
fastsparse,Logistic,L0L2,6.000000,0.001000,15,0.801206,0.771998,0.725778,0.699809,0.722892
fastsparse,Logistic,L0L2,7.000000,0.001000,12,0.798463,0.771021,0.727945,0.695985,0.631369
algorithm,loss,penalty_type,lambda,gamma,support_size,auc_train,auc_test,acc_train,acc_test,train_time
fastsparse,Logistic,L0L2,0.800000,0.000010,78,0.820984,0.771755,0.745920,0.697259,9.544796
fastsparse,Logistic,L0L2,1.000000,0.000010,60,0.817029,0.771215,0.741203,0.695347,4.760411
fastsparse,Logistic,L0L2,2.000000,0.000010,30,0.808667,0.774654,0.734447,0.699171,2.452456
fastsparse,Logistic,L0L2,3.000000,0.000010,25,0.806630,0.775272,0.733172,0.703633,2.083924
fastsparse,Logistic,L0L2,4.000000,0.000010,22,0.805788,0.774571,0.735722,0.701721,1.581775
fastsparse,Logistic,L0L2,5.000000,0.000010,17,0.802105,0.777197,0.729092,0.700446,1.046855
fastsparse,Logistic,L0L2,6.000000,0.000010,15,0.800718,0.772436,0.726033,0.699809,1.106478
fastsparse,Logistic,L0L2,7.000000,0.000010,13,0.798879,0.770465,0.727817,0.701721,1.008282
fastsparse,Logistic,L0L2,0.800000,0.001000,70,0.818210,0.775890,0.742223,0.701721,6.250354
fastsparse,Logistic,L0L2,1.000000,0.001000,62,0.816759,0.773097,0.739546,0.699809,4.721426
fastsparse,Logistic,L0L2,2.000000,0.001000,33,0.809493,0.775191,0.732917,0.703633,1.631372
fastsparse,Logistic,L0L2,3.000000,0.001000,26,0.807159,0.775874,0.734319,0.704270,1.891089
fastsparse,Logistic,L0L2,4.000000,0.001000,21,0.806759,0.777207,0.732662,0.711918,1.628681
fastsparse,Logistic,L0L2,5.000000,0.001000,19,0.805404,0.775129,0.732279,0.708732,1.481824
fastsparse,Logistic,L0L2,6.000000,0.001000,15,0.801206,0.771998,0.725778,0.699809,1.005795
fastsparse,Logistic,L0L2,7.000000,0.001000,12,0.798463,0.771021,0.727945,0.695985,0.905224
algorithm,loss,penalty_type,lambda,gamma,support_size,auc_train,auc_test,acc_train,acc_test,train_time
fastsparse,Logistic,L0L2,0.800000,0.000010,78,0.820984,0.771755,0.745920,0.697259,6.651997
fastsparse,Logistic,L0L2,1.000000,0.000010,60,0.817029,0.771215,0.741203,0.695347,3.463955
fastsparse,Logistic,L0L2,2.000000,0.000010,30,0.808667,0.774654,0.734447,0.699171,1.841595
fastsparse,Logistic,L0L2,3.000000,0.000010,25,0.806630,0.775272,0.733172,0.703633,1.673936
fastsparse,Logistic,L0L2,4.000000,0.000010,22,0.805788,0.774571,0.735722,0.701721,1.320585
fastsparse,Logistic,L0L2,5.000000,0.000010,17,0.802105,0.777197,0.729092,0.700446,0.879008
fastsparse,Logistic,L0L2,6.000000,0.000010,15,0.800718,0.772436,0.726033,0.699809,0.894317
fastsparse,Logistic,L0L2,7.000000,0.000010,13,0.798879,0.770465,0.727817,0.701721,0.775745
fastsparse,Logistic,L0L2,0.800000,0.001000,70,0.818210,0.775890,0.742223,0.701721,4.892122
fastsparse,Logistic,L0L2,1.000000,0.001000,62,0.816759,0.773097,0.739546,0.699809,3.166961
fastsparse,Logistic,L0L2,2.000000,0.001000,33,0.809493,0.775191,0.732917,0.703633,1.221252
fastsparse,Logistic,L0L2,3.000000,0.001000,26,0.807159,0.775874,0.734319,0.704270,1.397076
fastsparse,Logistic,L0L2,4.000000,0.001000,21,0.806759,0.777207,0.732662,0.711918,1.227014
fastsparse,Logistic,L0L2,5.000000,0.001000,19,0.805404,0.775129,0.732279,0.708732,1.079439
fastsparse,Logistic,L0L2,6.000000,0.001000,15,0.801206,0.771998,0.725778,0.699809,0.744781
fastsparse,Logistic,L0L2,7.000000,0.001000,12,0.798463,0.771021,0.727945,0.695985,0.662913
algorithm,loss,penalty_type,lambda,gamma,support_size,auc_train,auc_test,acc_train,acc_test,train_time
fastsparse,Logistic,L0L2,0.800000,0.000010,78,0.820984,0.771755,0.745920,0.697259,6.395702
fastsparse,Logistic,L0L2,1.000000,0.000010,60,0.817029,0.771215,0.741203,0.695347,3.424949
fastsparse,Logistic,L0L2,2.000000,0.000010,30,0.808667,0.774654,0.734447,0.699171,1.977538
fastsparse,Logistic,L0L2,3.000000,0.000010,25,0.806630,0.775272,0.733172,0.703633,1.860039
fastsparse,Logistic,L0L2,4.000000,0.000010,22,0.805788,0.774571,0.735722,0.701721,1.797245
fastsparse,Logistic,L0L2,5.000000,0.000010,17,0.802105,0.777197,0.729092,0.700446,0.994698
fastsparse,Logistic,L0L2,6.000000,0.000010,15,0.800718,0.772436,0.726033,0.699809,0.880541
fastsparse,Logistic,L0L2,7.000000,0.000010,13,0.798879,0.770465,0.727817,0.701721,0.795740
fastsparse,Logistic,L0L2,0.800000,0.001000,70,0.818210,0.775890,0.742223,0.701721,4.734886
